index,mem_percent,mem_free,mem_available,mem_used
2013,15.8,44976164864,46194536448,7439941632
2014,15.8,45013061632,46231433216,7312621568
2015,15.8,44973682688,46191931392,7460098048
2016,15.7,45019590656,46237839360,7320297472
2017,16.0,44879355904,46097608704,7343738880
2018,16.0,44892246016,46110609408,7433297920
2019,15.7,45028802560,46247100416,7297052672
2020,15.9,44957982720,46176280576,7475699712
2021,15.8,45018128384,46236397568,7386464256
2022,15.7,45038403584,46256660480,7287500800
2023,15.5,45162680320,46380937216,7271047168
2024,15.6,45101506560,46319763456,7332220928
2025,16.0,44871741440,46089842688,7342727168
2026,16.1,44815314944,46033797120,7402123264
2027,16.4,44655464448,45873946624,7472062464
2028,15.8,44986085376,46204612608,7231410176
2029,15.9,44937732096,46156095488,7387922432
2030,15.6,45082537984,46300901376,7283437568
2031,15.8,44973285376,46191616000,7460339712
2032,15.7,45050593280,46268923904,7350517760
2033,16.3,44709740544,45928349696,7291121664
2034,16.3,44744179712,45962788864,7364870144
2035,16.0,44862038016,46080647168,7354839040
2036,16.3,44720631808,45939085312,7313235968
2037,16.0,44896169984,46114766848,7212908544
2038,15.7,45038059520,46256607232,7071125504
2039,15.7,45020024832,46238552064,7197200384
2040,15.9,44947988480,46166515712,7376916480
2041,16.4,44674445312,45893066752,7393447936
2042,16.1,44811636736,46030249984,7260098560
2043,16.3,44741799936,45960413184,7367249920
2044,16.2,44762517504,45981130752,7454535680
2045,16.1,44819517440,46038138880,7258857472
2046,16.0,44872871936,46091472896,7236202496
2047,15.9,44916064256,46134665216,7301013504
2048,15.8,44976234496,46194835456,7348670464
2049,16.5,44603236352,45821853696,7397617664
2050,16.5,44606955520,45825572864,7405027328
2051,16.3,44709986304,45928652800,7290949632
2052,16.0,44895879168,46114512896,7212130304
2053,16.1,44803821568,46022422528,7286665216
2054,16.1,44832264192,46050869248,7239639040
2055,15.9,44915322880,46133927936,7193915392
2056,15.8,44977971200,46196576256,7239094272
2057,16.5,44629049344,45847642112,7372046336
2058,16.1,44828131328,46046773248,7260295168
2059,16.1,44841410560,46060052480,7267586048
2060,16.0,44873076736,46091616256,7344132096
2061,16.1,44829712384,46048251904,7428968448
2062,16.0,44857303040,46075842560,7448158208
2063,15.9,44957904896,46176378880,7151525888
2064,15.9,44910862336,46129336320,7306395648
2065,16.2,44762611712,45981106176,7434268672
2066,16.3,44700282880,45918777344,7517167616
2067,16.1,44805890048,46024384512,7411560448
2068,16.1,44847804416,46066266112,7370043392
2069,16.0,44897021952,46115434496,7320449024
2070,16.0,44859867136,46078279680,7357603840
2071,15.7,45029322752,46248067072,7296307200
2072,15.7,45036974080,46255386624,7363305472
2073,16.3,44711002112,45929492480,7398301696
2074,16.1,44816515072,46035017728,7400595456
2075,16.1,44841201664,46059704320,7483912192
2076,16.1,44838522880,46057025536,7478296576
2077,16.0,44880224256,46098632704,7445610496
2078,16.0,44866256896,46084665344,7515979776
2079,15.7,45040603136,46258921472,7393062912
2080,15.7,45026865152,46245183488,7364001792
2081,16.3,44734496768,45953011712,7383052288
2082,16.0,44893671424,46112186368,7323226112
2083,16.2,44790837248,46009352192,7533887488
2084,16.0,44882137088,46100553728,7510757376
2085,15.8,44975931392,46194348032,7349612544
2086,16.0,44901724160,46120140800,7519703040
2087,15.8,44994682880,46213099520,7331524608
2088,16.0,44885590016,46103937024,7440191488
2089,16.1,44799881216,46018498560,7309168640
2090,15.9,44912586752,46131204096,7304290304
2091,15.9,44917129216,46135644160,7300128768
2092,15.8,44978556928,46197071872,7308042240
2093,15.7,45020643328,46239158272,7304773632
2094,15.5,45140316160,46358671360,7280340992
2095,15.7,45043101696,46261456896,7390494720
2096,15.6,45123670016,46342025216,7310258176
2097,16.2,44760670208,45979295744,7337750528
2098,16.3,44732121088,45950746624,7377092608
2099,16.0,44873117696,46091743232,7235915776
2100,16.0,44860035072,46078631936,7272644608
2101,16.0,44904693760,46123220992,7312904192
2102,15.6,45082279936,46300803072,7234195456
2103,15.7,45023633408,46242103296,7196737536
2104,15.8,44992315392,46210744320,7333310464
2105,16.6,44553232384,45771784192,7448121344
2106,16.4,44637335552,45855997952,7363620864
2107,16.6,44535169024,45753819136,7376080896
2108,16.3,44729950208,45948706816,7270821888
2109,16.0,44863660032,46082375680,7245197312
2110,16.1,44802232320,46020861952,7314944000
2111,16.0,44906979328,46125588480,7310098432
2112,15.7,45043167232,46261776384,7281737728
2113,16.5,44633489408,45852049408,7519322112
2114,16.0,44860563456,46079123456,7345995776
2115,16.2,44777172992,45995732992,7440003072
2116,16.1,44810735616,46029242368,7406682112
2117,16.0,44869386240,46087892992,7455858688
2118,16.1,44848660480,46067167232,7167700992
2119,16.0,44893863936,46112403456,7215878144
2120,16.0,44879020032,46097453056,7338950656
2121,16.2,44750077952,45968605184,7466983424
2122,16.0,44867420160,46085947392,7457800192
2123,15.8,45003116544,46221570048,7430111232
2124,15.9,44914200576,46132654080,7544242176
2125,15.7,45067128832,46285414400,7474589696
2126,15.5,45140537344,46358822912,7401512960
2127,15.6,45101662208,46319947776,7348637696
2128,15.5,45156569088,46374731776,7350591488
2129,16.1,44849922048,46068416512,7367389184
2130,15.8,44993490944,46211985408,7331647488
2131,15.9,44931563520,46149890048,7502065664
2132,15.8,44989526016,46207852544,7551930368
2133,15.9,44932583424,46150713344,7717482496
2134,15.7,45039583232,46257713152,7502655488
2135,15.7,45033033728,46251163648,7509536768
2136,15.5,45161496576,46379626496,7441457152
2137,15.9,44925919232,46144294912,7291625472
2138,15.8,44970672128,46189047808,7354699776
2139,15.8,44981440512,46199824384,7452102656
2140,15.7,45028888576,46247108608,7512813568
2141,15.9,44961116160,46179336192,7555702784
2142,15.5,45130330112,46348550144,7405731840
2143,15.5,45163978752,46382198784,7378026496
2144,15.3,45253005312,46471135232,7280939008
2145,16.5,44630200320,45848690688,7534514176
2146,16.2,44752379904,45970882560,7464914944
2147,16.2,44784316416,46002819072,7511609344
2148,16.2,44780367872,45998870528,7494656000
2149,15.9,44912533504,46130999296,7229366272
2150,15.9,44955119616,46173626368,7262171136
2151,15.7,45072822272,46291329024,7252447232
2152,15.6,45090803712,46309253120,7245729792
2153,16.1,44847853568,46066307072,7369261056
2154,16.1,44849168384,46067621888,7470796800
2155,16.2,44794081280,46012534784,7531192320
2156,16.1,44854353920,46072868864,7558819840
2157,16.0,44903735296,46122057728,7353282560
2158,15.8,44985643008,46203965440,7325122560
2159,15.6,45104205824,46322528256,7114326016
2160,15.8,45018488832,46236811264,7307870208
2161,16.2,44791648256,46010068992,7425486848
2162,16.0,44900499456,46118920192,7424974848
2163,16.0,44903936000,46122356736,7529365504
2164,16.2,44747354112,45967101952,7663398912
2165,16.1,44826570752,46044987392,7425757184
2166,16.1,44834160640,46052610048,7336730624
2167,15.8,44988936192,46207385600,7228911616
2168,15.8,45001687040,46220136448,7324164096
2169,16.4,44662947840,45881417728,7554273280
2170,16.2,44787376128,46005862400,7321636864
2171,16.2,44783861760,46002401280,7433371648
2172,16.1,44842516480,46061056000,7303385088
2173,16.0,44886192128,46104731648,7331373056
2174,15.9,44926529536,46145069056,7361040384
2175,15.8,44972060672,46190600192,7245656064
2176,15.8,45012037632,46230478848,7313403904
2177,16.4,44674686976,45893197824,7542480896
2178,16.2,44749946880,45968420864,7359373312
2179,16.3,44717432832,45935906816,7499714560
2180,16.3,44709838848,45928280064,7406944256
2181,16.2,44777594880,45996195840,7303639040
2182,15.8,44971327488,46189928448,7137951744
2183,15.9,44911951872,46130552832,7305154560
2184,15.6,45094449152,46312882176,7231148032
2185,16.2,44783480832,46001958912,7433555968
2186,16.1,44831096832,46049574912,7458598912
2187,16.1,44849037312,46067503104,7476363264
2188,16.1,44819329024,46037794816,7476211712
2189,16.1,44840914944,46059380736,7285751808
2190,15.7,45070016512,46288531456,7147544576
2191,16.1,44831301632,46049837056,7493955584
2192,15.7,45045006336,46263541760,7327363072
2193,16.2,44749262848,45967802368,7359975424
2194,16.0,44892930048,46111469568,7324311552
2195,16.1,44821311488,46039851008,7395930112
2196,15.9,44924620800,46143172608,7292747776
2197,15.9,44945178624,46163656704,7372562432
2198,15.9,44931178496,46149656576,7394193408
2199,15.9,44929630208,46148108288,7395741696
2200,15.7,45029076992,46247555072,7404453888
2201,16.2,44793171968,46011727872,7423860736
2202,16.1,44851478528,46070026240,7460634624
2203,15.9,44914982912,46133424128,7410466816
2204,15.9,44945547264,46163988480,7487729664
2205,15.9,44912398336,46130839552,7520878592
2206,15.9,44919996416,46138437632,7438630912
2207,15.8,45012336640,46230777856,7421272064
2208,15.8,45016616960,46234992640,7353761792
2209,16.2,44762578944,45981122560,7454658560
2210,16.0,44855779328,46074322944,7469285376
2211,15.9,44951543808,46170419200,7450824704
2212,16.1,44853100544,46071644160,7380062208
2213,15.9,44933042176,46151487488,7284617216
2214,15.6,45078306816,46296752128,7247179776
2215,16.0,44897366016,46115811328,7428452352
2216,15.9,44940156928,46158602240,7385489408
2217,16.2,44778094592,45996650496,7438934016
2218,16.0,44890562560,46109118464,7434625024
2219,16.0,44882997248,46101426176,7442616320
2220,15.9,44923936768,46142697472,7509680128
2221,15.7,45056344064,46274822144,7161167872
2222,15.8,44988223488,46206701568,7337455616
2223,15.8,44982042624,46200389632,7447150592
2224,15.9,44960202752,46178549760,7473451008
2225,16.1,44811603968,46030262272,7189389312
2226,15.9,44921253888,46139932672,7187718144
2227,16.0,44888129536,46106808320,7328669696
2228,16.0,44906389504,46125068288,7356526592
2229,15.9,44912414720,46130970624,7305179136
2230,15.8,44977762304,46196318208,7347658752
2231,15.8,45004464128,46223020032,7321108480
2232,15.8,44999491584,46218047488,7433908224
2233,16.0,44866781184,46085345280,7349919744
2234,16.0,44907307008,46125862912,7309918208
2235,16.1,44799963136,46018519040,7525089280
2236,16.0,44903084032,46121639936,7448510464
2237,15.7,45020848128,46239404032,7361269760
2238,15.6,45085380608,46303813632,7348461568
2239,15.5,45132353536,46350733312,7301451776
2240,15.6,45126553600,46344933376,7414870016
2241,16.1,44830003200,46048538624,7387258880
2242,15.8,44965724160,46184259584,7359365120
2243,16.0,44899643392,46118486016,7533342720
2244,15.8,44998447104,46216957952,7542366208
2245,15.7,45020307456,46238609408,7521452032
2246,15.4,45211230208,46429532160,7330529280
2247,15.4,45215883264,46434185216,7434035200
2248,15.3,45242167296,46460469248,7394484224
2249,16.1,44844892160,46063308800,7394357248
2250,15.8,44983291904,46201716736,7332581376
2251,15.8,44989239296,46207664128,7336255488
2252,15.7,45057019904,46275444736,7376633856
2253,15.7,45055217664,46273642496,7432847360
2254,15.6,45124329472,46342754304,7417483264
2255,15.4,45221748736,46439940096,7417622528
2256,15.4,45234925568,46453116928,7307235328
2257,16.1,44841369600,46059679744,7484026880
2258,15.8,44985470976,46203789312,7408431104
2259,16.1,44823904256,46042222592,7520423936
2260,15.6,45075341312,46293659648,7358234624
2261,15.6,45124644864,46342963200,7267459072
2262,15.6,45113331712,46331650048,7212748800
2263,15.5,45164273664,46382583808,7269457920
2264,15.5,45171535872,46389846016,7370022912
2265,15.8,44969140224,46187581440,7356145664
2266,15.9,44964237312,46182678528,7468875776
2267,15.8,44965601280,46184042496,7525904384
2268,15.6,45078564864,46296846336,7247556608
2269,15.7,45069086720,46287392768,7309922304
2270,15.5,45148762112,46367068160,7284989952
2271,15.5,45180579840,46398885888,7361331200
2272,15.4,45191090176,46409396224,7350820864
2273,15.6,45094141952,46312435712,7339442176
2274,15.7,45049409536,46267703296,7384506368
2275,15.8,45000687616,46218887168,7541272576
2276,15.6,45107924992,46326124544,7434035200
2277,15.7,45026971648,46245171200,7531249664
2278,15.3,45269057536,46487257088,7359832064
2279,15.8,44990636032,46208823296,7363051520
2280,15.5,45158354944,46376542208,7275622400
2281,15.6,45081698304,46300008448,7352037376
2282,15.5,45153361920,46371672064,7388200960
2283,15.6,45081223168,46299365376,7474610176
2284,15.5,45156519936,46374662144,7385710592
2285,15.5,45177925632,46396071936,7471767552
2286,15.4,45194358784,46412427264,7455870976
2287,16.0,44880896000,46099316736,7444430848
2288,15.8,45008064512,46226485248,7425089536
2289,16.0,44878983168,46097453056,7338409984
2290,16.3,44739268608,45957738496,7478788096
